2019-07-27 00:00:46.774 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.shared.resolver.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2019-07-27 00:14:41.322 [http-nio-8082-exec-7] INFO  com.mt.console.interceptor.LoginInterceptor - http://localhost:8082/console/login
2019-07-27 00:14:41.347 [http-nio-8082-exec-4] INFO  com.mt.console.interceptor.LoginInterceptor - http://localhost:8082/console/login
2019-07-27 00:14:41.368 [http-nio-8082-exec-9] INFO  com.mt.console.interceptor.LoginInterceptor - http://localhost:8082/console/login
2019-07-27 00:14:41.387 [http-nio-8082-exec-10] INFO  com.mt.console.interceptor.LoginInterceptor - http://localhost:8082/console/login
2019-07-27 00:14:41.464 [http-nio-8082-exec-1] INFO  com.mt.console.interceptor.LoginInterceptor - http://localhost:8082/assets/common/lte/bootstrap/css/bootstrap.min.css
2019-07-27 00:14:41.465 [http-nio-8082-exec-2] INFO  com.mt.console.interceptor.LoginInterceptor - http://localhost:8082/assets/common/lte/dist/css/AdminLTE.min.css
2019-07-27 00:14:41.465 [http-nio-8082-exec-6] INFO  com.mt.console.interceptor.LoginInterceptor - http://localhost:8082/assets/common/lte/plugins/iCheck/square/blue.css
2019-07-27 00:14:41.470 [http-nio-8082-exec-5] INFO  com.mt.console.interceptor.LoginInterceptor - http://localhost:8082/assets/common/lte/plugins/jQuery/jquery-2.2.3.min.js
2019-07-27 00:14:41.485 [http-nio-8082-exec-3] INFO  com.mt.console.interceptor.LoginInterceptor - http://localhost:8082/assets/common/lte/bootstrap/js/bootstrap.min.js
2019-07-27 00:14:42.055 [http-nio-8082-exec-8] INFO  com.mt.console.interceptor.LoginInterceptor - http://localhost:8082/assets/console/img/favicon.png
2019-07-27 00:14:42.067 [http-nio-8082-exec-7] INFO  com.mt.console.interceptor.LoginInterceptor - http://localhost:8082/console/login
2019-07-27 00:14:55.444 [http-nio-8082-exec-5] INFO  com.mt.console.interceptor.LoginInterceptor - http://localhost:8082/
2019-07-27 00:14:55.469 [http-nio-8082-exec-5] INFO  com.mt.console.interceptor.LoginInterceptor - http://localhost:8082/error
2019-07-27 00:14:55.494 [http-nio-8082-exec-3] INFO  com.mt.console.interceptor.LoginInterceptor - http://localhost:8082/console/login
2019-07-27 00:14:55.551 [http-nio-8082-exec-8] INFO  com.mt.console.interceptor.LoginInterceptor - http://localhost:8082/assets/common/lte/bootstrap/css/bootstrap.min.css
2019-07-27 00:14:55.575 [http-nio-8082-exec-7] INFO  com.mt.console.interceptor.LoginInterceptor - http://localhost:8082/assets/common/lte/dist/css/AdminLTE.min.css
